OrderID,CustomerID,RestaurantID,OrderDate,TotalAmount
O932,C959,R186,2025-02-17,720
O1203,C1255,R181,2025-02-17,500
O1218,C1001,R133,2025-02-17,410
O1393,C827,R227,2025-02-17,980
O2049,C1085,R219,2025-02-17,720
O2237,C858,R193,2025-02-17,1260
O3207,C1406,R215,2025-02-17,320
O3276,C704,R234,2025-02-17,990
O3287,C772,R104,2025-02-17,470
O3363,C389,R243,2025-02-17,1110
O4168,C830,R116,2025-02-17,790
O1235,C1138,R241,2025-02-18,690
O1311,C1260,R158,2025-02-18,570
O1391,C1584,R133,2025-02-18,480
O1851,C1498,R234,2025-02-18,1100
O2225,C718,R186,2025-02-18,1700
O3148,C322,R119,2025-02-18,370
O3326,C923,R144,2025-02-18,810
O1085,C425,R121,2025-02-19,1400
O1339,C1638,R128,2025-02-19,460
O1469,C1089,R117,2025-02-19,840
O1566,C1306,R151,2025-02-19,1030
O2040,C589,R209,2025-02-19,1200
O2221,C782,R106,2025-02-19,1190
O3174,C861,R227,2025-02-19,240
O4206,C591,R108,2025-02-19,590
O816,C1302,R125,2025-02-20,380
O1186,C1302,R174,2025-02-20,1020
O1356,C458,R103,2025-02-20,730
O1798,C641,R167,2025-02-20,100
O2036,C948,R247,2025-02-20,900
O3264,C1405,R159,2025-02-20,770
O527,C288,R147,2025-02-21,180
O1032,C1062,R206,2025-02-21,860
O1708,C1070,R137,2025-02-21,620
O2496,C1607,R141,2025-02-21,460
O2871,C576,R168,2025-02-21,600
O2930,C318,R196,2025-02-21,1190
O3759,C690,R199,2025-02-21,110
O4043,C917,R172,2025-02-21,640
O4197,C889,R122,2025-02-21,100
O507,C444,R111,2025-02-22,730
O800,C794,R202,2025-02-22,590
O2362,C1066,R182,2025-02-22,240
O2417,C1073,R159,2025-02-22,580
O2531,C890,R243,2025-02-22,380
O3222,C1215,R208,2025-02-22,240
O3682,C224,R122,2025-02-22,320
O4015,C833,R163,2025-02-22,550
O1027,C1366,R203,2025-02-23,590
O2390,C1652,R101,2025-02-23,540
O3303,C360,R195,2025-02-23,740
O3720,C490,R112,2025-02-23,750
O4200,C1250,R171,2025-02-23,330
O1008,C808,R143,2025-02-24,1100
O1843,C1482,R108,2025-02-24,300
O2060,C585,R197,2025-02-24,540
O2214,C778,R162,2025-02-24,580
O2569,C890,R108,2025-02-24,690
O3103,C575,R184,2025-02-24,750
O3348,C243,R219,2025-02-24,880
O3349,C561,R157,2025-02-24,1170
O3711,C1116,R116,2025-02-24,130
O1256,C530,R234,2025-02-25,750
O2604,C1012,R231,2025-02-25,280
O2678,C900,R211,2025-02-25,1410
O3381,C635,R147,2025-02-25,280
O3501,C1070,R229,2025-02-25,830
O3686,C1522,R234,2025-02-25,1010
O3835,C663,R137,2025-02-25,350
O4117,C803,R172,2025-02-25,1220
O456,C854,R120,2025-02-26,250
O517,C1187,R171,2025-02-26,230
O753,C297,R174,2025-02-26,180
O808,C438,R221,2025-02-26,700
O1195,C1620,R228,2025-02-26,510
O1354,C1594,R143,2025-02-26,580
O1651,C714,R250,2025-02-26,480
O2308,C584,R162,2025-02-26,620
O2411,C1571,R189,2025-02-26,110
O2453,C653,R189,2025-02-26,580
O3538,C408,R162,2025-02-26,700
O3549,C1060,R206,2025-02-26,1090
O3564,C382,R195,2025-02-26,400
O3773,C693,R233,2025-02-26,110
O425,C1058,R127,2025-02-27,160
O776,C1233,R165,2025-02-27,500
O972,C506,R169,2025-02-27,1340
O1500,C281,R247,2025-02-27,740
O1738,C655,R209,2025-02-27,790
O1876,C574,R220,2025-02-27,300
O1897,C1518,R119,2025-02-27,320
O1988,C458,R194,2025-02-27,740
O2313,C795,R217,2025-02-27,800
O430,C1589,R226,2025-02-28,200
O506,C1129,R104,2025-02-28,400
O600,C1004,R119,2025-02-28,820
O606,C1098,R167,2025-02-28,1200
O1315,C1557,R150,2025-02-28,110
O1332,C828,R103,2025-02-28,560
O1585,C641,R113,2025-02-28,280
O1650,C1251,R128,2025-02-28,590
O2098,C912,R164,2025-02-28,100
O2725,C941,R208,2025-02-28,380
O3911,C897,R230,2025-02-28,1180
O407,C1050,R179,2025-03-01,560
O1242,C352,R230,2025-03-01,500
O1379,C1372,R232,2025-03-01,260
O1910,C892,R235,2025-03-01,680
O3395,C1401,R104,2025-03-01,800
O4330,C1150,R114,2025-03-01,200
O4397,C1693,R111,2025-03-01,620
O2352,C1139,R111,2025-03-02,220
O2486,C509,R208,2025-03-02,190
O3001,C466,R177,2025-03-02,600
O3593,C951,R208,2025-03-02,340
O3988,C361,R118,2025-03-02,1160
O4039,C808,R148,2025-03-02,400
O471,C1136,R128,2025-03-03,500
O843,C613,R233,2025-03-03,610
O990,C1289,R125,2025-03-03,240
O1154,C1077,R140,2025-03-03,620
O1553,C919,R180,2025-03-03,1030
O1935,C1464,R170,2025-03-03,220
O2900,C1201,R236,2025-03-03,330
O3180,C1025,R132,2025-03-03,480
O3900,C779,R125,2025-03-03,430
O4059,C1035,R199,2025-03-03,920
O4204,C647,R143,2025-03-03,550
O539,C1319,R191,2025-03-04,880
O890,C1691,R234,2025-03-04,880
O1268,C749,R198,2025-03-04,710
O1326,C755,R160,2025-03-04,1620
O1706,C1239,R222,2025-03-04,910
O1716,C1152,R140,2025-03-04,740
O3563,C367,R101,2025-03-04,440
O3791,C1507,R108,2025-03-04,360
O3893,C321,R124,2025-03-04,710
O4065,C446,R155,2025-03-04,350
O4136,C1334,R142,2025-03-04,440
O4272,C732,R183,2025-03-04,430
O4366,C1135,R238,2025-03-04,120
O1404,C1349,R205,2025-03-05,480
O1577,C1551,R132,2025-03-05,580
O1891,C619,R150,2025-03-05,700
O2524,C650,R103,2025-03-05,100
O2836,C637,R229,2025-03-05,540
O2869,C876,R205,2025-03-05,470
O3100,C504,R245,2025-03-05,400
O3484,C1661,R125,2025-03-05,420
O3839,C1525,R121,2025-03-05,220
O712,C532,R148,2025-03-06,660
O1043,C510,R235,2025-03-06,600
O1053,C1211,R236,2025-03-06,600
O1845,C308,R250,2025-03-06,880
O2718,C1283,R180,2025-03-06,1340
O3073,C1627,R107,2025-03-06,580
O3191,C921,R185,2025-03-06,310
O3756,C676,R210,2025-03-06,340
O1191,C721,R188,2025-03-07,350
O1689,C939,R104,2025-03-07,400
O2705,C1577,R250,2025-03-07,520
O2707,C555,R248,2025-03-07,890
O3034,C1456,R196,2025-03-07,1010
O3129,C500,R145,2025-03-07,190
O3588,C1505,R219,2025-03-07,960
O670,C1653,R170,2025-03-08,440
O784,C806,R186,2025-03-08,1180
O1296,C544,R212,2025-03-08,900
O1929,C1135,R141,2025-03-08,240
O2004,C944,R235,2025-03-08,620
O2564,C1211,R246,2025-03-08,550
O2886,C313,R130,2025-03-08,590
O3310,C341,R128,2025-03-08,1130
O4246,C472,R241,2025-03-08,690
O4258,C662,R138,2025-03-08,160
O4310,C884,R211,2025-03-08,1410
O597,C1445,R215,2025-03-09,800
O1099,C242,R155,2025-03-09,620
O1471,C498,R148,2025-03-09,450
O1724,C924,R202,2025-03-09,380
O1746,C792,R194,2025-03-09,210
O2450,C1562,R239,2025-03-09,870
O2763,C1659,R182,2025-03-09,600
O4093,C756,R188,2025-03-09,660
O1741,C1248,R209,2025-03-10,180
O1742,C1622,R185,2025-03-10,460
O1899,C1366,R205,2025-03-10,810
O2033,C316,R181,2025-03-10,170
O2247,C428,R158,2025-03-10,1320
O2315,C1630,R105,2025-03-10,660
O3460,C698,R198,2025-03-10,640
O3707,C1199,R101,2025-03-10,1010
O3928,C252,R201,2025-03-10,380
O680,C673,R250,2025-03-11,240
O1348,C903,R156,2025-03-11,90
O2562,C1129,R130,2025-03-11,120
O2711,C657,R103,2025-03-11,480
O2809,C1211,R102,2025-03-11,190
O3427,C861,R247,2025-03-11,980
O4158,C414,R185,2025-03-11,150
O728,C585,R246,2025-03-12,440
O783,C967,R146,2025-03-12,540
O1031,C1165,R148,2025-03-12,560
O1239,C414,R133,2025-03-12,810
O1249,C1523,R225,2025-03-12,1030
O1257,C714,R211,2025-03-12,550
O1345,C270,R125,2025-03-12,650
O2415,C820,R149,2025-03-12,480
O2646,C1227,R173,2025-03-12,200
O3283,C256,R139,2025-03-12,890
O3676,C588,R207,2025-03-12,430
O4066,C1337,R143,2025-03-12,220
O540,C391,R104,2025-03-13,470
O558,C1020,R188,2025-03-13,570
O632,C1542,R106,2025-03-13,220
O965,C1490,R102,2025-03-13,1020
O1045,C1285,R194,2025-03-13,320
O1072,C641,R125,2025-03-13,940
O1187,C493,R185,2025-03-13,610
O2083,C1181,R151,2025-03-13,560
O3767,C1356,R179,2025-03-13,280
O3897,C444,R131,2025-03-13,1550
O4056,C304,R163,2025-03-13,370
O515,C848,R110,2025-03-14,570
O765,C1025,R172,2025-03-14,560
O1264,C895,R132,2025-03-14,180
O2193,C1462,R197,2025-03-14,510
O2692,C1257,R232,2025-03-14,200
O3185,C403,R188,2025-03-14,580
O3443,C1483,R228,2025-03-14,390
O3492,C347,R235,2025-03-14,360
O3966,C1249,R175,2025-03-14,1230
O4347,C477,R153,2025-03-14,1310
O552,C809,R149,2025-03-15,390
O2153,C1332,R200,2025-03-15,500
O2190,C892,R228,2025-03-15,520
O2350,C446,R137,2025-03-15,790
O2993,C514,R129,2025-03-15,710
O3435,C1272,R218,2025-03-15,160
O3607,C1025,R173,2025-03-15,1040
O432,C292,R163,2025-03-16,370
O959,C1573,R234,2025-03-16,1400
O1175,C915,R105,2025-03-16,100
O1314,C1483,R190,2025-03-16,1120
O2273,C1640,R177,2025-03-16,1040
O2432,C1086,R104,2025-03-16,640
O4251,C1591,R239,2025-03-16,860
O640,C934,R237,2025-03-17,170
O727,C455,R249,2025-03-17,420
O1735,C466,R174,2025-03-17,1060
O2636,C838,R210,2025-03-17,960
O2756,C1651,R120,2025-03-17,900
O3062,C1140,R106,2025-03-17,160
O3602,C655,R249,2025-03-17,210
O3757,C1121,R227,2025-03-17,270
O4132,C765,R144,2025-03-17,200
O790,C1363,R132,2025-03-18,890
O1787,C664,R130,2025-03-18,120
O1849,C656,R104,2025-03-18,600
O1965,C568,R114,2025-03-18,370
O2364,C208,R158,2025-03-18,380
O3519,C292,R145,2025-03-18,400
O699,C390,R189,2025-03-19,110
O1720,C856,R143,2025-03-19,430
O1827,C393,R126,2025-03-19,220
O2135,C452,R212,2025-03-19,360
O2146,C1021,R241,2025-03-19,360
O2852,C1516,R156,2025-03-19,900
O3863,C1391,R172,2025-03-19,1300
O4005,C1278,R189,2025-03-19,310
O4138,C405,R152,2025-03-19,930
O4312,C283,R113,2025-03-19,520
O573,C852,R225,2025-03-20,340
O1444,C478,R188,2025-03-20,580
O1504,C375,R111,2025-03-20,730
O1609,C704,R156,2025-03-20,560
O1775,C930,R227,2025-03-20,210
O1792,C613,R123,2025-03-20,640
O1903,C758,R189,2025-03-20,380
O2012,C1486,R175,2025-03-20,230
O2559,C1511,R135,2025-03-20,1210
O2919,C1099,R120,2025-03-20,770
O4123,C1116,R166,2025-03-20,500
O4384,C1200,R129,2025-03-20,920
O485,C1054,R227,2025-03-21,290
O1305,C1670,R107,2025-03-21,580
O1321,C481,R239,2025-03-21,230
O1456,C1166,R203,2025-03-21,360
O1517,C881,R125,2025-03-21,400
O648,C286,R209,2025-03-22,240
O682,C1538,R154,2025-03-22,540
O1056,C898,R219,2025-03-22,1070
O1108,C1610,R105,2025-03-22,780
O1777,C464,R245,2025-03-22,420
O2151,C1425,R158,2025-03-22,1180
O2594,C680,R107,2025-03-22,1720
O2800,C516,R122,2025-03-22,150
O3701,C1124,R115,2025-03-22,340
O4321,C442,R237,2025-03-22,550
O1419,C1251,R171,2025-03-23,370
O1808,C907,R248,2025-03-23,620
O1893,C964,R186,2025-03-23,100
O1954,C1435,R188,2025-03-23,700
