RestaurantID,RestaurantName,City,CuisineType,Rating
R202,Royal Cafe,Chennai,North Indian,4.4
R203,Red Diner,Mumbai,Mexican,4.7
R204,Blue Kitchen,Hyderabad,Fast Food,4.2
R205,Tasty Hub,Ahmedabad,Chinese,3.7
R206,Tasty Cafe,Delhi,Indian,3.8
R207,Urban Hub,Bhopal,Fast Food,4.0
R208,Royal Garden,Ahmedabad,South Indian,4.2
R209,Golden Bites,Bangalore,Indian,4.4
R210,Hot Delight,Bangalore,Continental,3.5
R211,Golden Bowl,Bangalore,Mexican,4.1
R212,Spice Garden,Indore,Italian,4.6
R213,Magic Wok,Delhi,Mexican,4.5
R214,Spice Treat,Bangalore,Continental,3.1
R215,Classic Palace,Delhi,Italian,4.7
R216,Hot Treat,Delhi,Fast Food,3.7
R217,The Great Treat,Bhopal,Fast Food,4.7
R218,Urban Delight,Mumbai,Bakery,4.1
R219,Red Delight,Chennai,Mexican,4.3
R220,Spice Hub,Kolkata,Mexican,3.7
R221,Hot Wok,Ahmedabad,Fast Food,4.8
R222,Royal Bites,Delhi,Continental,3.7
R223,Magic Delight,Ahmedabad,Chinese,4.2
R224,Golden Bites,Ahmedabad,Mexican,3.9
R225,Blue Treat,Hyderabad,Italian,3.7
R226,Blue Kitchen,Kolkata,Mexican,3.3
R227,Royal Palace,Chennai,Indian,3.3
R228,Hot Point,Kolkata,Bakery,4.8
R229,Magic Cafe,Kolkata,Indian,4.4
R230,Magic Cafe,Pune,Italian,3.5
R231,Red Diner,Delhi,Fast Food,3.4
R232,Hot Garden,Pune,Fast Food,3.6
R233,Classic Bites,Delhi,South Indian,4.3
R234,Magic Bites,Delhi,Fast Food,4.0
R235,Classic Hub,Kolkata,Indian,4.5
R236,Red Treat,Bangalore,Chinese,3.2
R237,Tasty Delight,Ahmedabad,Fast Food,3.5
R238,Spice Point,Indore,South Indian,4.4
R239,Royal Palace,Pune,Italian,3.9
R240,Golden Delight,Bhopal,Continental,4.8
R241,Spice Bites,Kolkata,Chinese,4.6
R242,Urban Treat,Chennai,Continental,4.4
R243,Tasty Cafe,Bhopal,Indian,3.8
R244,Classic Bites,Hyderabad,Italian,4.1
R245,Tasty Wok,Pune,Continental,4.9
R246,Blue Kitchen,Delhi,Mexican,3.9
R247,Golden Kitchen,Chennai,Fast Food,3.5
R248,Golden Bites,Indore,North Indian,3.6
R249,Royal Hub,Chennai,Bakery,4.9
R250,Silver Palace,Bhopal,Fast Food,4.7
